canonical_name,abbreviation,alt_abbreviation,city,team_id
Yankees,NYY,NY Yankees,New York,1
Red Sox,BOS,Boston Red Sox,Boston,2
Blue Jays,TOR,Toronto Blue Jays,Toronto,3
Orioles,BAL,Baltimore Orioles,Baltimore,4
Rays,TB,Tampa Bay Rays,Tampa Bay,5
White Sox,CHW,Chicago White Sox,Chicago,6
Guardians,CLE,Cleveland Guardians,Cleveland,7
Tigers,DET,Detroit Tigers,Detroit,8
Royals,KC,Kansas City Royals,Kansas City,9
Twins,MIN,Minnesota Twins,Minnesota,10
Astros,HOU,Houston Astros,Houston,11
Angels,LAA,Los Angeles Angels,Los Angeles,12
Athletics,OAK,Oakland Athletics,Oakland,13
Mariners,SEA,Seattle Mariners,Seattle,14
Rangers,TEX,Texas Rangers,Texas,15
Braves,ATL,Atlanta Braves,Atlanta,16
Marlins,MIA,Miami Marlins,Miami,17
Mets,NYM,New York Mets,New York,18
Phillies,PHI,Philadelphia Phillies,Philadelphia,19
Nationals,WSH,Washington Nationals,Washington,20
Cubs,CHC,Chicago Cubs,Chicago,21
Reds,CIN,Cincinnati Reds,Cincinnati,22
Brewers,MIL,Milwaukee Brewers,Milwaukee,23
Pirates,PIT,Pittsburgh Pirates,Pittsburgh,24
Cardinals,STL,St. Louis Cardinals,St. Louis,25
Diamondbacks,ARI,Arizona Diamondbacks,Arizona,26
Rockies,COL,Colorado Rockies,Colorado,27
Dodgers,LAD,Los Angeles Dodgers,Los Angeles,28
Padres,SD,San Diego Padres,San Diego,29
Giants,SF,San Francisco Giants,San Francisco,30
